Attendance,Study_Hours,Motivation_Level,Exam_Score
93,3,High,80.1
83,1,High,58.1
69,2,Medium,62.0
97,2,Medium,69.0
62,4,Low,74.7
75,5,Low,87.1
93,1,Medium,65.9
73,1,Medium,55.9
77,3,High,60.2
65,2,Medium,54.0
65,5,Medium,82.0
78,4,High,80.7
90,2,High,72.3
94,4,Medium,90.5
78,3,Medium,80.6
57,3,Medium,64.1
76,1,Medium,54.4
56,5,Medium,70.0
78,4,High,74.2
98,2,Low,77.7
84,3,Low,81.3
92,1,Low,71.7
56,1,Low,41.9
75,4,High,78.0
87,3,High,78.7
66,5,Medium,93.2
76,3,Low,72.6
98,4,Medium,98.8
79,4,Medium,82.3
81,3,Low,80.3
96,4,Medium,95.1
82,3,Medium,75.8
70,2,Medium,55.9
69,3,Medium,67.2
98,3,Low,90.4
57,4,Medium,74.9
91,4,Medium,85.3
61,1,Medium,46.8
75,1,High,46.8
63,2,Medium,64.7
93,1,Low,68.9
72,3,Low,69.3
58,4,Medium,72.0
79,1,Low,46.6
68,1,Medium,49.6
63,2,High,64.2
80,2,Medium,70.9
56,3,Medium,63.7
74,4,Medium,78.9
82,2,Medium,71.0
61,1,Medium,47.1
98,4,High,82.7
62,4,Medium,73.0
89,1,High,64.5
68,2,High,65.6
71,1,Low,46.3
90,4,Low,86.4
94,5,Low,96.6
58,5,Low,73.5
56,3,Low,64.4
60,1,Medium,51.7
96,1,Low,64.5
58,3,Medium,73.3
83,3,High,73.9
72,3,Low,67.8
80,4,High,79.6
98,1,Medium,62.9
88,4,Low,83.2
64,3,Medium,58.8
90,1,Medium,62.0
68,4,High,76.3
85,4,High,73.1
69,3,High,68.0
62,1,Medium,49.2
68,3,Low,70.6
77,1,High,62.5
94,5,High,100.0
75,2,High,60.4
70,2,Medium,57.3
99,2,Medium,78.4
72,3,High,67.3
78,5,Medium,82.9
80,1,High,69.9
79,4,High,79.9
99,1,Medium,64.4
95,4,High,78.5
83,1,High,63.8
69,5,Low,79.6
99,4,High,91.6
55,3,Medium,66.3
79,1,High,52.6
61,1,Medium,48.9
63,4,High,81.1
78,3,Medium,60.7
55,3,Low,57.4
98,5,High,94.5
62,3,Low,64.1
78,3,Medium,72.8
65,3,High,61.2
71,2,High,58.2
62,5,Medium,77.1
89,1,Medium,60.7
89,4,Medium,87.6
87,1,Medium,66.1
59,5,Medium,84.8
96,4,Medium,93.3
93,5,High,92.1
95,3,High,81.5
82,4,High,94.9
61,3,Low,69.6
63,1,Medium,47.3
62,1,Low,56.9
66,4,Medium,73.1
88,4,Medium,82.7
87,5,High,100.0
77,5,Medium,82.0
78,3,Low,63.4
91,4,Low,92.2
89,1,High,62.6
98,5,Medium,99.6
94,5,Low,95.2
76,1,Low,54.8
81,5,High,88.2
89,3,Low,75.4
55,4,High,67.6
89,1,High,60.4
91,4,Low,83.4
68,5,Low,81.3
57,5,High,66.0
55,1,Medium,48.9
59,3,Medium,65.5
80,2,High,65.6
68,1,High,53.2
93,2,High,73.9
81,2,High,62.9
63,3,Medium,62.8
69,2,Low,63.1
69,2,High,61.5
80,3,Medium,84.2
96,2,Medium,82.1
67,2,High,64.2
86,2,Low,65.2
93,1,Medium,61.7
86,1,Low,56.0
58,1,Medium,48.4
84,3,Low,62.3
91,5,Low,93.2
77,2,Low,63.0
93,2,Medium,64.9
99,3,High,87.5
69,2,Medium,54.8
97,1,High,67.8
83,5,Medium,100.0
90,4,Medium,78.9
67,2,High,58.8
86,1,Medium,59.0
61,4,High,69.5
76,5,Low,91.8
82,4,High,88.5
56,1,Low,49.9
96,4,High,86.4
99,3,Medium,95.7
60,4,High,63.1
82,2,Low,61.8
82,2,Medium,67.8
98,3,High,83.4
98,1,Medium,69.4
74,2,Medium,70.9
84,5,Medium,91.4
65,2,Medium,59.1
82,2,Medium,64.0
79,1,Medium,60.4
93,4,High,86.9
87,2,Low,67.9
55,3,Medium,64.2
81,4,High,87.7
67,5,High,72.5
95,1,Medium,67.3
57,5,Medium,77.1
93,4,Medium,93.2
60,4,Low,70.7
62,4,Medium,79.5
81,5,Medium,87.1
63,4,Medium,62.3
91,5,Low,100.0
87,4,High,81.3
96,3,High,74.1
98,4,Medium,91.1
78,5,Medium,87.8
69,2,Medium,64.6
86,4,High,89.5
86,2,Medium,69.5
78,3,Low,68.6
95,1,High,66.9
66,3,High,67.8
93,4,High,91.3
56,2,High,49.6
57,2,Medium,52.5
91,5,Medium,98.0
71,2,High,67.7
